NPC_ID,特征,服务效率,资源状态,对比,时间
1006,38级·法师训练师·魔法学院,"技能教学:14次/日\n学徒考核:3人/月\n法术研究:0项/季度","魔法书:剩余21册\n训练道具:消耗8件/周","教学效率低于学院同类14%",2025-02
1007,25级·猎人导师·森林营地,"狩猎指导:9次/日\n陷阱布置:4处/周\n野兽驯化:1只/月","箭矢库存:180支\n皮料储备:38张","指导效率优于82%同区域导师",2025-02
1008,33级·杂货商人·市场,"商品种类:46种\n日交易额:1150金币\n进货频率:2次/周","库存周转:8天\n滞销品:7件","利润率低于同类商人10%",2025-02
1009,40级·盗贼训练师·暗巷,"潜行教学:7次/日\n盗窃任务:2单/周\n情报交易:9次/日","暗影尘:库存15份\n开锁器:消耗14件/月","学员任务完成率高于同类12%",2025-02
1010,50级·牧师·神殿,"治疗服务:32次/日\n驱魔仪式:1次/周\n信徒布道:2次/日","圣水:库存50瓶\n祈祷卷轴:剩余16份","治疗效率低于高阶牧师平均13%",2025-02
1001,35级·铁匠·主城广场,"玩家交互:130次/日\n装备修理:90单/日\n定制订单:5单/周","金币储备:9800\n稀有矿石:剩余15块（补货）\n普通材料:充足","优于75%同等级铁匠（效率持续提升）",2025-03
1002,28级·炼金术士·法师塔,"玩家交互:70次/日\n药水售卖:220瓶/周\n配方研究:2次/月","魔力药剂:库存55瓶（扩产）\n稀有草药:剩余12株","药水售罄率高于同类20%",2025-03
1003,42级·任务发布官·冒险者公会,"任务发放:19个/日\n玩家完成率:74%\n隐藏任务触发:2次/月","任务卷轴:库存130份\n赏金池:6000金币","任务完成率回升至公会平均线",2025-03
1004,30级·守卫队长·城门,"巡逻路线:5条/日\n击退土匪:5次/周\n玩家求助:3次/日","守卫士气:80%\n装备耐久:剩余65%（已修复）","治安维护效率优于同类22%",2025-03
1005,45级·旅店老板·集市,"住客接待:30人/日\n餐饮服务:90份/日\n特殊事件:1次/月","食材库存:新鲜度85%\n客房入住率:满房","住客满意度高于区域平均18%",2025-03
1006,38级·法师训练师·魔法学院,"技能教学:16次/日\n学徒考核:5人/月\n法术研究:1项/季度","魔法书:剩余25册\n训练道具:消耗6件/周","教学效率回升至学院平均线",2025-03
1007,25级·猎人导师·森林营地,"狩猎指导:10次/日\n陷阱布置:5处/周\n野兽驯化:2只/月","箭矢库存:220支\n皮料储备:42张","指导效率优于85%同区域导师",2025-03
1008,33级·杂货商人·市场,"商品种类:48种\n日交易额:1300金币\n进货频率:3次/周","库存周转:6天\n滞销品:3件","利润率回升至同类平均水平",2025-03
1009,40级·盗贼训练师·暗巷,"潜行教学:8次/日\n盗窃任务:4单/周\n情报交易:10次/日","暗影尘:库存20份\n开锁器:消耗10件/月","学员任务完成率高于同类15%",2025-03
1010,50级·牧师·神殿,"治疗服务:35次/日\n驱魔仪式:3次/周\n信徒布道:2次/日","圣水:库存60瓶\n祈祷卷轴:剩余20份","治疗效率接近高阶牧师平均水平",2025-03
1001,36级·铁匠·主城广场（升级）,"玩家交互:135次/日\n装备修理:95单/日\n定制订单:6单/周","金币储备:11000\n稀有矿石:剩余18块\n传奇材料:首次获得","优于78%同等级铁匠（升级带动能级提升）",2025-04
1002,29级·炼金术士·法师塔（升级）,"玩家交互:75次/日\n药水售卖:240瓶/周\n配方研究:3次/月","魔力药剂:库存60瓶\n稀有草药:剩余15株\n新配方:解锁2种","药水售罄率高于同类25%",2025-04
1003,43级·任务发布官·冒险者公会（升级）,"任务发放:20个/日\n玩家完成率:78%\n隐藏任务触发:3次/月","任务卷轴:库存140份\n赏金池:6800金币","任务完成率高于公会平均5%",2025-04
1004,31级·守卫队长·城门（升级）,"巡逻路线:5条/日\n击退土匪:4次/周\n玩家求助:2次/日","守卫士气:85%\n装备耐久:剩余75%（全套升级）","治安维护效率优于同类25%",2025-04
1005,46级·旅店老板·集市（升级）,"住客接待:32人/日\n餐饮服务:95份/日\n特殊事件:2次/月","食材库存:新鲜度90%\n客房扩建:10间","住客满意度高于区域平均22%",2025-04
1006,39级·法师训练师·魔法学院（升级）,"技能教学:18次/日\n学徒考核:6人/月\n法术研究:2项/季度","魔法书:剩余28册\n训练道具:消耗5件/周","教学效率高于学院同类8%",2025-04
1007,26级·猎人导师·森林营地（升级）,"狩猎指导:11次/日\n陷阱布置:6处/周\n野兽驯化:3只/月","箭矢库存:250支\n皮料储备:48张","指导效率优于88%同区域导师",2025-04
1008,34级·杂货商人·市场（升级）,"商品种类:52种\n日交易额:1500金币\n进货频率:3次/周","库存周转:5天\n滞销品:1件","利润率高于同类商人5%",2025-04
1009,41级·盗贼训练师·暗巷（升级）,"潜行教学:9次/日\n盗窃任务:5单/周\n情报交易:12次/日","暗影尘:库存25份\n开锁器:消耗8件/月","学员任务完成率高于同类20%",2025-04
1010,51级·牧师·神殿（升级）,"治疗服务:38次/日\n驱魔仪式:4次/周\n信徒布道:3次/日","圣水:库存70瓶\n祈祷卷轴:剩余25份","治疗效率高于高阶牧师平均5%",2025-04
1001,36级·铁匠·主城广场,"玩家交互:140次/日\n装备修理:98单/日\n定制订单:7单/周","金币储备:12500\n稀有矿石:剩余20块\n传奇材料:2份","优于82%同等级铁匠（巅峰效率）",2025-05
1002,29级·炼金术士·法师塔,"玩家交互:80次/日\n药水售卖:255瓶/周\n配方研究:4次/月","魔力药剂:库存65瓶\n稀有草药:剩余18株\n新配方:解锁4种","药水售罄率高于同类30%",2025-05
1003,43级·任务发布官·冒险者公会,"任务发放:22个/日\n玩家完成率:80%\n隐藏任务触发:4次/月","任务卷轴:库存150份\n赏金池:7500金币","任务完成率高于公会平均8%",2025-05
1004,31级·守卫队长·城门,"巡逻路线:6条/日\n击退土匪:2次/周（安全改善）\n玩家求助:1次/日","守卫士气:90%\n装备耐久:剩余85%","治安维护效率优于同类30%",2025-05
1005,46级·旅店老板·集市,"住客接待:35人/日\n餐饮服务:100份/日\n特殊事件:3次/月","食材库存:新鲜度95%\n客房入住率:满房+等位","住客满意度全区域第一",2025-05
1006,39级·法师训练师·魔法学院,"技能教学:20次/日\n学徒考核:8人/月\n法术研究:3项/季度","魔法书:剩余30册\n训练道具:消耗4件/周","教学效率高于学院同类12%",2025-05
1007,26级·猎人导师·森林营地,"狩猎指导:12次/日\n陷阱布置:7处/周\n野兽驯化:4只/月","箭矢库存:280支\n皮料储备:52张","指导效率优于92%同区域导师",2025-05
1008,34级·杂货商人·市场,"商品种类:55种\n日交易额:1700金币\n进货频率:4次/周","库存周转:4天\n滞销品:0件","利润率高于同类商人10%",2025-05
1009,41级·盗贼训练师·暗巷,"潜行教学:10次/日\n盗窃任务:6单/周\n情报交易:15次/日","暗影尘:库存30份\n开锁器:消耗6件/月","学员任务完成率高于同类25%",2025-05
1010,51级·牧师·神殿,"治疗服务:40次/日\n驱魔仪式:5次/周\n信徒布道:4次/日","圣水:库存80瓶\n祈祷卷轴:剩余30份","治疗效率高于高阶牧师平均10%",2025-05
1001,36级·铁匠·主城广场,"玩家交互:138次/日\n装备修理:92单/日\n定制订单:5单/周","金币储备:12000\n稀有矿石:剩余16块\n传奇材料:1份","优于80%同等级铁匠（小幅回落）",2025-06
1002,29级·炼金术士·法师塔,"玩家交互:72次/日\n药水售卖:230瓶/周\n配方研究:2次/月","魔力药剂:库存50瓶\n稀有草药:剩余10株","药水售罄率高于同类22%",2025-06
1003,43级·任务发布官·冒险者公会,"任务发放:19个/日\n玩家完成率:76%\n隐藏任务触发:2次/月","任务卷轴:库存135份\n赏金池:7000金币","任务完成率高于公会平均3%",2025-06
1004,31级·守卫队长·城门,"巡逻路线:5条/日\n击退土匪:3次/周\n玩家求助:2次/日","守卫士气:82%\n装备耐久:剩余70%","治安维护效率优于同类20%",2025-06
1005,46级·旅店老板·集市,"住客接待:30人/日\n餐饮服务:88份/日\n特殊事件:1次/月","食材库存:新鲜度82%\n客房入住率:85%","住客满意度高于区域平均15%",2025-06
1006,39级·法师训练师·魔法学院,"技能教学:17次/日\n学徒考核:5人/月\n法术研究:1项/季度","魔法书:剩余26册\n训练道具:消耗6件/周","教学效率高于学院同类5%",2025-06
1007,26级·猎人导师·森林营地,"狩猎指导:10次/日\n陷阱布置:5处/周\n野兽驯化:2只/月","箭矢库存:240支\n皮料储备:44张","指导效率优于85%同区域导师",2025-06
1008,34级·杂货商人·市场,"商品种类:50种\n日交易额:1450金币\n进货频率:3次/周","库存周转:5天\n滞销品:2件","利润率高于同类商人3%",2025-06
1009,41级·盗贼训练师·暗巷,"潜行教学:8次/日\n盗窃任务:4单/周\n情报交易:11次/日","暗影尘:库存22份\n开锁器:消耗10件/月","学员任务完成率高于同类18%",2025-06
1010,51级·牧师·神殿,"治疗服务:36次/日\n驱魔仪式:3次/周\n信徒布道:2次/日","圣水:库存65瓶\n祈祷卷轴:剩余22份","治疗效率高于高阶牧师平均3%",2025-06
1001,36级·铁匠·主城广场,"玩家交互:130次/日\n装备修理:85单/日\n定制订单:3单/周","金币储备:10500\n稀有矿石:剩余8块\n普通材料:紧张","优于70%同等级铁匠（资源紧张）",2025-07
1002,29级·炼金术士·法师塔,"玩家交互:60次/日\n药水售卖:180瓶/周\n配方研究:0次/月","魔力药剂:库存20瓶（短缺）\n稀有草药:剩余3株","药水售罄率高于同类10%（库存告急）",2025-07
1003,43级·任务发布官·冒险者公会,"任务发放:15个/日\n玩家完成率:68%\n隐藏任务触发:0次/月","任务卷轴:库存90份\n赏金池:5000金币","任务完成率低于公会平均8%",2025-07
1004,31级·守卫队长·城门,"巡逻路线:4条/日\n击退土匪:8次/周\n玩家求助:5次/日","守卫士气:65%\n装备耐久:剩余40%","治安维护效率低于同类10%（动荡期）",2025-07
1005,46级·旅店老板·集市,"住客接待:22人/日\n餐饮服务:65份/日\n特殊事件:0次/月","食材库存:新鲜度60%\n客房空置:5间","住客满意度降至区域平均水平",2025-07
1006,39级·法师训练师·魔法学院,"技能教学:12次/日\n学徒考核:2人/月\n法术研究:0项/季度","魔法书:剩余18册\n训练道具:消耗10件/周","教学效率低于学院同类10%",2025-07
1007,26级·猎人导师·森林营地,"狩猎指导:7次/日\n陷阱布置:3处/周\n野兽驯化:0只/月","箭矢库存:150支\n皮料储备:30张","指导效率优于70%同区域导师",2025-07
1008,34级·杂货商人·市场,"商品种类:42种\n日交易额:1000金币\n进货频率:1次/周","库存周转:10天\n滞销品:12件","利润率低于同类商人15%",2025-07
1009,41级·盗贼训练师·暗巷,"潜行教学:5次/日\n盗窃任务:1单/周\n情报交易:6次/日","暗影尘:库存10份\n开锁器:消耗16件/月","学员任务完成率降至同类平均水平",2025-07
1010,51级·牧师·神殿,"治疗服务:28次/日\n驱魔仪式:1次/周\n信徒布道:1次/日","圣水:库存35瓶\n祈祷卷轴:剩余12份","治疗效率低于高阶牧师平均10%",2025-07
1001,36级·铁匠·主城广场,"玩家交互:125次/日\n装备修理:80单/日\n定制订单:2单/周","金币储备:9500\n稀有矿石:剩余5块\n普通材料:严重短缺","优于62%同等级铁匠（低谷期）",2025-08
1002,29级·炼金术士·法师塔,"玩家交互:55次/日\n药水售卖:160瓶/周\n配方研究:0次/月","魔力药剂:库存10瓶（严重短缺）\n稀有草药:剩余1株","药水售罄率低于同类平均水平",2025-08
1003,43级·任务发布官·冒险者公会,"任务发放:13个/日\n玩家完成率:65%\n隐藏任务触发:0次/月","任务卷轴:库存70份\n赏金池:4200金币","任务完成率低于公会平均12%",2025-08
1004,31级·守卫队长·城门,"巡逻路线:3条/日\n击退土匪:10次/周\n玩家求助:6次/日","守卫士气:55%\n装备耐久:剩余25%（急需修理）","治安维护效率低于同类18%（危机状态）",2025-08
1005,46级·旅店老板·集市,"住客接待:18人/日\n餐饮服务:50份/日\n特殊事件:0次/月","食材库存:新鲜度40%\n客房空置:6间","住客满意度低于区域平均10%",2025-08
1006,39级·法师训练师·魔法学院,"技能教学:10次/日\n学徒考核:1人/月\n法术研究:0项/季度","魔法书:剩余14册\n训练道具:消耗12件/周","教学效率低于学院同类18%",2025-08
1007,26级·猎人导师·森林营地,"狩猎指导:5次/日\n陷阱布置:2处/周\n野兽驯化:0只/月","箭矢库存:100支\n皮料储备:22张","指导效率优于60%同区域导师",2025-08
1008,34级·杂货商人·市场,"商品种类:38种\n日交易额:800金币\n进货频率:1次/2周","库存周转:14天\n滞销品:18件","利润率低于同类商人25%",2025-08
1009,41级·盗贼训练师·暗巷,"潜行教学:3次/日\n盗窃任务:0单/周\n情报交易:4次/日","暗影尘:库存5份\n开锁器:消耗20件/月","学员任务完成率低于同类平均水平",2025-08
1010,51级·牧师·神殿,"治疗服务:22次/日\n驱魔仪式:0次/周\n信徒布道:0次/日","圣水:库存20瓶\n祈祷卷轴:剩余6份","治疗效率低于高阶牧师平均20%",2025-08
1001,36级·铁匠·主城广场,"玩家交互:132次/日\n装备修理:87单/日\n定制订单:4单/周","金币储备:10000\n稀有矿石:剩余10块（补货中）\n普通材料:恢复","优于72%同等级铁匠（回暖迹象）",2025-09
1002,29级·炼金术士·法师塔,"玩家交互:65次/日\n药水售卖:190瓶/周\n配方研究:1次/月","魔力药剂:库存30瓶\n稀有草药:剩余6株（补货）","药水售罄率回升至高于同类8%",2025-09
1003,43级·任务发布官·冒险者公会,"任务发放:17个/日\n玩家完成率:72%\n隐藏任务触发:1次/月","任务卷轴:库存100份\n赏金池:5500金币","任务完成率回升至接近公会平均线",2025-09
1004,31级·守卫队长·城门,"巡逻路线:4条/日\n击退土匪:6次/周\n玩家求助:3次/日","守卫士气:70%\n装备耐久:剩余50%（已紧急修理）","治安维护效率回升至同类平均水平",2025-09
1005,46级·旅店老板·集市,"住客接待:25人/日\n餐饮服务:70份/日\n特殊事件:1次/月","食材库存:新鲜度70%\n客房空置:4间","住客满意度回升至区域平均水平",2025-09
1006,39级·法师训练师·魔法学院,"技能教学:14次/日\n学徒考核:4人/月\n法术研究:1项/季度","魔法书:剩余20册\n训练道具:消耗8件/周","教学效率回升至学院同类平均水平",2025-09
1007,26级·猎人导师·森林营地,"狩猎指导:9次/日\n陷阱布置:4处/周\n野兽驯化:1只/月","箭矢库存:180支\n皮料储备:35张","指导效率优于75%同区域导师",2025-09
1008,34级·杂货商人·市场,"商品种类:45种\n日交易额:1100金币\n进货频率:2次/周","库存周转:8天\n滞销品:8件","利润率低于同类商人10%",2025-09
1009,41级·盗贼训练师·暗巷,"潜行教学:6次/日\n盗窃任务:2单/周\n情报交易:8次/日","暗影尘:库存14份\n开锁器:消耗14件/月","学员任务完成率回升至高于同类5%",2025-09
1010,51级·牧师·神殿,"治疗服务:30次/日\n驱魔仪式:2次/周\n信徒布道:1次/日","圣水:库存45瓶\n祈祷卷轴:剩余16份","治疗效率回升至高阶牧师平均线",2025-09
1001,36级·铁匠·主城广场,"玩家交互:138次/日\n装备修理:92单/日\n定制订单:5单/周","金币储备:11500\n稀有矿石:剩余14块\n普通材料:充足","优于76%同等级铁匠（稳步恢复）",2025-10
1002,29级·炼金术士·法师塔,"玩家交互:72次/日\n药水售卖:215瓶/周\n配方研究:2次/月","魔力药剂:库存45瓶\n稀有草药:剩余10株","药水售罄率高于同类15%",2025-10
1003,43级·任务发布官·冒险者公会,"任务发放:20个/日\n玩家完成率:76%\n隐藏任务触发:2次/月","任务卷轴:库存120份\n赏金池:6200金币","任务完成率高于公会平均2%",2025-10
1004,31级·守卫队长·城门,"巡逻路线:5条/日\n击退土匪:4次/周\n玩家求助:2次/日","守卫士气:78%\n装备耐久:剩余65%","治安维护效率优于同类15%",2025-10
1005,46级·旅店老板·集市,"住客接待:30人/日\n餐饮服务:85份/日\n特殊事件:2次/月","食材库存:新鲜度82%\n客房空置:2间","住客满意度高于区域平均10%",2025-10
1006,39级·法师训练师·魔法学院,"技能教学:17次/日\n学徒考核:6人/月\n法术研究:2项/季度","魔法书:剩余24册\n训练道具:消耗5件/周","教学效率高于学院同类8%",2025-10
1007,26级·猎人导师·森林营地,"狩猎指导:11次/日\n陷阱布置:6处/周\n野兽驯化:2只/月","箭矢库存:220支\n皮料储备:42张","指导效率优于82%同区域导师",2025-10
1008,34级·杂货商人·市场,"商品种类:50种\n日交易额:1400金币\n进货频率:3次/周","库存周转:6天\n滞销品:3件","利润率与同类平均水平持平",2025-10
1009,41级·盗贼训练师·暗巷,"潜行教学:8次/日\n盗窃任务:4单/周\n情报交易:10次/日","暗影尘:库存20份\n开锁器:消耗10件/月","学员任务完成率高于同类15%",2025-10
1010,51级·牧师·神殿,"治疗服务:35次/日\n驱魔仪式:3次/周\n信徒布道:2次/日","圣水:库存58瓶\n祈祷卷轴:剩余22份","治疗效率高于高阶牧师平均3%",2025-10
1001,36级·铁匠·主城广场,"玩家交互:142次/日\n装备修理:96单/日\n定制订单:6单/周","金币储备:12800\n稀有矿石:剩余19块\n传奇材料:3份","优于80%同等级铁匠（创新高）",2025-11
1002,29级·炼金术士·法师塔,"玩家交互:78次/日\n药水售卖:245瓶/周\n配方研究:3次/月","魔力药剂:库存58瓶\n稀有草药:剩余16株\n新配方:解锁5种","药水售罄率高于同类25%",2025-11
1003,43级·任务发布官·冒险者公会,"任务发放:21个/日\n玩家完成率:79%\n隐藏任务触发:3次/月","任务卷轴:库存140份\n赏金池:7000金币","任务完成率高于公会平均6%",2025-11
1004,31级·守卫队长·城门,"巡逻路线:6条/日\n击退土匪:2次/周\n玩家求助:1次/日","守卫士气:88%\n装备耐久:剩余80%","治安维护效率优于同类28%",2025-11
1005,46级·旅店老板·集市,"住客接待:34人/日\n餐饮服务:98份/日\n特殊事件:3次/月","食材库存:新鲜度92%\n客房入住率:满房","住客满意度高于区域平均20%",2025-11
1006,39级·法师训练师·魔法学院,"技能教学:19次/日\n学徒考核:7人/月\n法术研究:3项/季度","魔法书:剩余29册\n训练道具:消耗4件/周","教学效率高于学院同类10%",2025-11
1007,26级·猎人导师·森林营地,"狩猎指导:12次/日\n陷阱布置:7处/周\n野兽驯化:3只/月","箭矢库存:260支\n皮料储备:50张","指导效率优于90%同区域导师",2025-11
1008,34级·杂货商人·市场,"商品种类:54种\n日交易额:1650金币\n进货频率:4次/周","库存周转:4天\n滞销品:0件","利润率高于同类商人8%",2025-11
1009,41级·盗贼训练师·暗巷,"潜行教学:10次/日\n盗窃任务:5单/周\n情报交易:14次/日","暗影尘:库存28份\n开锁器:消耗7件/月","学员任务完成率高于同类22%",2025-11
1010,51级·牧师·神殿,"治疗服务:39次/日\n驱魔仪式:4次/周\n信徒布道:3次/日","圣水:库存75瓶\n祈祷卷轴:剩余28份","治疗效率高于高阶牧师平均8%",2025-11
1001,37级·铁匠·主城广场（年终升级）,"玩家交互:150次/日\n装备修理:102单/日\n定制订单:8单/周","金币储备:15000\n稀有矿石:剩余25块\n传奇材料:5份","优于90%同等级铁匠（年度巅峰）",2025-12
1002,30级·炼金术士·法师塔（年终升级）,"玩家交互:85次/日\n药水售卖:270瓶/周\n配方研究:5次/月","魔力药剂:库存80瓶\n稀有草药:剩余22株\n全配方:解锁8种","药水售罄率高于同类35%",2025-12
1003,44级·任务发布官·冒险者公会（年终升级）,"任务发放:24个/日\n玩家完成率:82%\n隐藏任务触发:5次/月","任务卷轴:库存160份\n赏金池:8500金币","任务完成率高于公会平均10%",2025-12
1004,32级·守卫队长·城门（年终升级）,"巡逻路线:7条/日\n击退土匪:1次/周（区域安全）\n玩家求助:0次/日","守卫士气:95%\n装备耐久:剩余92%（全新装备）","治安维护效率优于同类35%",2025-12
1005,47级·旅店老板·集市（年终升级）,"住客接待:40人/日\n餐饮服务:110份/日\n特殊事件:4次/月","食材库存:新鲜度98%\n客房入住率:120%（等位制）","住客满意度全区域第一+年度最佳旅店",2025-12
1006,40级·法师训练师·魔法学院（年终升级）,"技能教学:22次/日\n学徒考核:10人/月\n法术研究:4项/季度","魔法书:剩余35册\n训练道具:消耗3件/周","教学效率高于学院同类18%",2025-12
1007,27级·猎人导师·森林营地（年终升级）,"狩猎指导:14次/日\n陷阱布置:8处/周\n野兽驯化:5只/月","箭矢库存:320支\n皮料储备:60张","指导效率优于95%同区域导师",2025-12
1008,35级·杂货商人·市场（年终升级）,"商品种类:60种\n日交易额:2000金币\n进货频率:每日","库存周转:3天\n畅销品:22件","利润率高于同类商人15%",2025-12
1009,42级·盗贼训练师·暗巷（年终升级）,"潜行教学:12次/日\n盗窃任务:7单/周\n情报交易:18次/日","暗影尘:库存35份\n开锁器:消耗5件/月","学员任务完成率高于同类30%",2025-12
1010,52级·牧师·神殿（年终升级）,"治疗服务:45次/日\n驱魔仪式:6次/周\n信徒布道:5次/日","圣水:库存100瓶\n祈祷卷轴:剩余35份","治疗效率高于高阶牧师平均15%",2025-12
